Player	Start	End	Matche	Run	High Score	Average	Century	Wicket	BBI	B Average	5 Wickets	Catch Out	Stamp Out
B Lee (AUS)	2000	2012	221	1176	59	17.81	0	380	May-22	23.36	9	54	0
Mashrafe Mortaza (Asia/BAN)	2001	2020	220	1787	51*	13.74	0	270	Jun-26	32.93	1	62	0
Moin Khan (PAK)	1990	2004	219	3266	72*	23	0	-	-	-	-	214	73
AD Mathews (SL)	2008	2021	218	5835	139*	41.67	3	120	Jun-20	33.35	1	53	0
Mohammad Hafeez (PAK)	2003	2019	218	6614	140*	32.9	11	139	Apr-41	38.84	0	85	0
CL Cairns (ICC/NZ)	1991	2006	215	4950	115	29.46	4	201	May-42	32.8	1	66	0
Mahmudullah (BAN)	2007	2022	215	4879	128*	35.61	3	82	03-Apr	45.26	0	74	0
E Chigumbura (Afr/ZIM)	2004	2018	213	4340	117	25.23	2	101	Apr-28	42.31	0	72	0
A Flower (ZIM)	1992	2003	213	6786	145	35.34	4	0	-	-	0	141	32
RS Mahanama (SL)	1986	1999	213	5162	119*	29.49	4	0	-	-	0	109	0
H Masakadza (ZIM)	2001	2019	209	5658	178*	27.73	5	39	Mar-39	41.94	0	71	0
DR Martyn (AUS)	1992	2006	208	5346	144*	40.8	5	12	Feb-21	58.66	0	69	0
MN Samuels (WI)	2000	2018	207	5606	133*	32.97	10	89	03-Dec	46.37	0	50	0
BRM Taylor (ZIM)	2004	2021	205	6684	145*	35.55	11	9	Mar-54	45.11	0	133	29
CA Walsh (WI)	1985	2000	205	321	30	6.97	0	227	05-Jan	30.47	1	27	0
Z Khan (Asia/IND)	2000	2012	200	792	34*	12	0	282	May-42	29.43	1	43	0
HP Tillakaratne (SL)	1986	2003	200	3789	104	29.6	2	6	01-Mar	23.5	0	89	6
