Player	Start	End	Mat	Inns	Balls	Overs	Mdns	Runs	Wkts	BBI	BBM	Ave	Econ	SR	4w	5w
M Muralidaran (Asia/ICC/SL)	1993	2011	350	341	18811	3135.1	198	12326	534	Jul-30	Jul-30	23.08	3.93	35.22	15	10
Wasim Akram (PAK)	1984	2003	356	351	18186	3031	237	11812	502	May-15	May-15	23.52	3.89	36.22	17	6
Waqar Younis (PAK)	1989	2003	262	258	12698	2116.2	143	9919	416	Jul-36	Jul-36	23.84	4.68	30.52	14	13
WPUJC Vaas (Asia/SL)	1994	2008	322	320	15775	2629.1	279	11014	400	Aug-19	Aug-19	27.53	4.18	39.43	9	4
Shahid Afridi (Asia/ICC/PAK)	1996	2015	398	372	17670	2945	76	13632	395	07-Dec	07-Dec	34.51	4.62	44.73	4	9
SM Pollock (Afr/ICC/SA)	1996	2008	303	297	15712	2618.4	313	9631	393	Jun-35	Jun-35	24.5	3.67	39.97	12	5
GD McGrath (AUS/ICC)	1993	2007	250	248	12970	2161.4	279	8391	381	Jul-15	Jul-15	22.02	3.88	34.04	9	7
B Lee (AUS)	2000	2012	221	217	11185	1864.1	141	8877	380	May-22	May-22	23.36	4.76	29.43	14	9
SL Malinga (SL)	2004	2019	226	220	10936	1822.4	103	9760	338	Jun-38	Jun-38	28.87	5.35	32.35	11	8
A Kumble (Asia/IND)	1990	2007	271	265	14496	2416	109	10412	337	06-Dec	06-Dec	30.89	4.3	43.01	8	2
ST Jayasuriya (Asia/SL)	1989	2011	445	368	14874	2479	45	11871	323	Jun-29	Jun-29	36.75	4.78	46.04	8	4
J Srinath (IND)	1991	2003	229	227	11935	1989.1	137	8847	315	May-23	May-23	28.08	4.44	37.88	7	3
Shakib Al Hasan (BAN)	2006	2023	235	229	11939	1989.5	96	8840	305	May-29	May-29	28.98	4.44	39.14	10	4
DL Vettori (ICC/NZ)	1997	2015	295	277	14060	2343.2	99	9674	305	05-Jul	05-Jul	31.71	4.12	46.09	8	2
SK Warne (AUS/ICC)	1993	2005	194	191	10642	1773.4	110	7541	293	May-33	May-33	25.73	4.25	36.32	12	1
Saqlain Mushtaq (PAK)	1995	2003	169	165	8770	1461.4	66	6275	288	May-20	May-20	21.78	4.29	30.45	11	6
AB Agarkar (IND)	1998	2007	191	188	9484	1580.4	100	8021	288	Jun-42	Jun-42	27.85	5.07	32.93	10	2
